iter	Passed	Remaining
398	3882	5847
399	3884	5826
400	3891	5812
401	3894	5793
402	3897	5773
403	3901	5755
404	3904	5735
405	3908	5717
406	3910	5697
407	3914	5679
408	3917	5660
409	3919	5640
410	3922	5621
411	3925	5602
412	3931	5587
413	3934	5568
414	3936	5549
415	3939	5530
416	3945	5515
417	3947	5496
418	3951	5478
419	3954	5460
420	3958	5443
421	3961	5425
422	3963	5406
423	3966	5388
424	3969	5370
425	3976	5357
426	3979	5339
427	3982	5322
428	3985	5304
429	3989	5288
430	3992	5270
431	3995	5253
432	3997	5235
433	4003	5220
434	4005	5202
435	4008	5184
436	4010	5167
437	4017	5154
438	4019	5136
439	4022	5119
440	4024	5101
441	4028	5085
442	4031	5068
443	4034	5051
444	4036	5034
445	4039	5017
446	4046	5005
447	4049	4989
448	4054	4975
449	4063	4965
450	4067	4951
451	4076	4942
452	4084	4932
453	4087	4916
454	4097	4907
455	4105	4898
456	4111	4885
457	4127	4884
458	4159	4902
459	4189	4918
460	4193	4903
461	4201	4892
462	4204	4876
463	4208	4861
464	4223	4858
465	4248	4868
466	4253	4854
467	4268	4852
468	4277	4842
469	4283	4829
470	4291	4819
471	4368	4886
472	4380	4880
473	4396	4878
474	4399	4862
475	4409	4854
476	4414	4839
477	4425	4832
478	4433	4821
479	4437	4806
480	4461	4813
481	4468	4802
482	4472	4787
483	4483	4779
484	4537	4817
485	4540	4802
486	4554	4797
487	4558	4782
488	4564	4770
489	4569	4755
490	4572	4739
491	4578	4726
492	4583	4713
493	4586	4697
494	4598	4690
495	4601	4675
496	4604	4659
497	4611	4648
498	4614	4633
499	4617	4617
500	4620	4601
501	4633	4596
502	4645	4589
503	4650	4576
504	4657	4565
505	4661	4551
506	4665	4536
507	4672	4525
508	4675	4510
509	4678	4495
510	4688	4486
511	4693	4473
512	4703	4465
513	4713	4456
514	4722	4447
515	4727	4434
516	4736	4425
517	4739	4410
518	4744	4397
519	4754	4388
520	4757	4373
521	4761	4359
522	4770	4350
523	4775	4337
524	4784	4328
525	4788	4314
526	4791	4300
527	4798	4289
528	4805	4278
529	4818	4273
530	4822	4259
531	4834	4252
532	4851	4251
533	4861	4242
534	4866	4229
535	4875	4220
536	4879	4206
537	4883	4193
538	4892	4184
539	4895	4170
540	4898	4155
541	4906	4146
542	4914	4136
543	4920	4124
544	4925	4111
545	4930	4100
546	4935	4087
547	4939	4074
548	4945	4062
549	4950	4050
550	4953	4036
551	4957	4023
552	4965	4014
553	4968	4000
554	4971	3986
555	4979	3976
556	4986	3965
